positive,negative,rating,comments,category,comments_preprocessed
"Dorucak je bio izuzetno skroman,slican dorucku u JNA ...jaja ili pasteta","Komarci u sobi i kupatilu,skromni dorucak,pogled na skladiste iz sobe,,,",4,"Dorucak je bio izuzetno skroman,slican dorucku u JNA ...jaja ili pasteta Komarci u sobi i kupatilu,skromni dorucak,pogled na skladiste iz sobe,,,",neutralan,dorucak izuzetno skromanslican dorucka jn jaje pastet komarka soba kupatiluskromni dorucakpogled skladista soba
,Duseci su katastrofa,4, Duseci su katastrofa,neutralan,dusec katastrofa
"Osoblje jako ljubazno ,","Soba bez ormana i mjesta za odlaganje stvari ,buka sa ulice u noćnim satima , neudoban ležaj , prevruće u sobi",5,"Osoblje jako ljubazno , Soba bez ormana i mjesta za odlaganje stvari ,buka sa ulice u noćnim satima , neudoban ležaj , prevruće u sobi",neutralan,osoblje jako ljubazan soba orman mjest odlaganje stvar buka ulica noćni sat neudoban ležaj prevrući soba
,"Uticnice ne funkcionisu, na kraju nam voda i kafa uracunata u racun i ako nam je na pocetku receno da je to besplatno.",5," Uticnice ne funkcionisu, na kraju nam voda i kafa uracunata u racun i ako nam je na pocetku receno da je to besplatno.",neutralan,uticnica funkcionisati kraj voda kafa uracunt racun pocetak rediti besplatan
Doručak ok.,Parking se plaća. Buking naplaćuje boravak mnogo više nego sam hotel.,6,Doručak ok. Parking se plaća. Buking naplaćuje boravak mnogo više nego sam hotel.,neutralan,doručak ok parking plaći buking naplaćivati boravak mnogo mnogo hotel
"Osoblje ljubazno,doručak odličan kao i lokacija,čisto i uredno",Soba u kojoj je jedan prozor samo mogao da se otvori na kant,5,"Osoblje ljubazno,doručak odličan kao i lokacija,čisto i uredno Soba u kojoj je jedan prozor samo mogao da se otvori na kant",neutralan,osoblje ljubaznodoručak odličan kao lokacijačisto uredan soba prozor moći otvoriti kant
"veličina sobe, zadovoljavajuća cistoca","mislim da je potpuno bzvz da se naplaćuje  parking (ok, odluka hotela a 20m dalje slobodan parking), zameseteljstvo sa plaćanjem karticom  (bespotrebno rezervacija sredstava na karticu i gubitak vremena i razna potpisivanja), struktura gostiju...hmmm, možda najveći razlog za zaobići hotel",5,"veličina sobe, zadovoljavajuća cistoca mislim da je potpuno bzvz da se naplaćuje  parking (ok, odluka hotela a 20m dalje slobodan parking), zameseteljstvo sa plaćanjem karticom  (bespotrebno rezervacija sredstava na karticu i gubitak vremena i razna potpisivanja), struktura gostiju...hmmm, možda najveći razlog za zaobići hotel",neutralan,veličina soba zadovoljavajući cistoc misliti potpuno bzvz naplaćivati parking ok odluka hotel m daleko slobodan parking zameseteljstvo plaćanje kartica bespotreban rezervacija sredstvo kartica gubitak vreme razni potpisivanje struktura gostijuham možda velik razlog zaobići hotel
,Veliki broj migranata,5, Veliki broj migranata,neutralan,velik migrant
,"Cesto dolazim u BG I uvek sam odsedao u ovaj hotel,uz sve drugo koje sam smatrao I bilo pozitivno bio je I besplatan parking.Hotel ima dva ili tri mesta za svoje goste I ako nisu bila zauzeta od nekog od gostiju moglo je da se parkira.
Od ovog boravka nije tako I hotel naplacuje svoja mesta,izgovorje bio besmislen zato sto na celom Banovom brdu nema zonskog parkiranja.
U svakom mom boravku tamo nikad nisam koristio parking mesta od hotela I nemam problem sa time ali znam sam za opciju da ima I hotelska parking mesta.Sada sam parkirao na mesta za hotel koje mi je otkljucao recepcioner I kad sam se prijavio dobio sam info da moram da platim ili da sklonim auto sto sam I uradio a I nije mi bilo prvi put da auto ostavljam na ulicu.
Sve u svemu los potez uprave,I do sada nisam nikad koristio parking a dolazio sam uvek u hotel.
Ovako gube me kao gosta I kao osobu koja je preporucivala Balkan hotel.",5," Cesto dolazim u BG I uvek sam odsedao u ovaj hotel,uz sve drugo koje sam smatrao I bilo pozitivno bio je I besplatan parking.Hotel ima dva ili tri mesta za svoje goste I ako nisu bila zauzeta od nekog od gostiju moglo je da se parkira.
Od ovog boravka nije tako I hotel naplacuje svoja mesta,izgovorje bio besmislen zato sto na celom Banovom brdu nema zonskog parkiranja.
U svakom mom boravku tamo nikad nisam koristio parking mesta od hotela I nemam problem sa time ali znam sam za opciju da ima I hotelska parking mesta.Sada sam parkirao na mesta za hotel koje mi je otkljucao recepcioner I kad sam se prijavio dobio sam info da moram da platim ili da sklonim auto sto sam I uradio a I nije mi bilo prvi put da auto ostavljam na ulicu.
Sve u svemu los potez uprave,I do sada nisam nikad koristio parking a dolazio sam uvek u hotel.
Ovako gube me kao gosta I kao osobu koja je preporucivala Balkan hotel.",neutralan,dolaziti bg uvek odsedati ovaj hoteluz sav drugi smatrati pozitivan besplatan parkinghotel imati tri mesto gosta zauzeti gost moći parkirati ovaj boravak hotel naplacovati mestaizgovorje besmislen zato sto ceo ban brd nemati zonski parkiranje svaki boravka tamo nikad koristiti parking mesto hotel nemati problem opcija imati hotelski parking mestasad parkirati mesto hotel otkljucati recepcioner kad prijaviti info morati platiti skloniti auto sto uraditi auto ostavljati ulica sav los potez uprava do sada nikad koristiti parking dolaziti uvek hotel ovako gubiti kao gost kao osoba preporucivati balkan hotel
Ljubaznost recepcionarke! Costa 5 ca,Buka velika buka....,5,Ljubaznost recepcionarke! Costa 5 ca Buka velika buka....,neutralan,ljubaznost recepcionarka cost ca buka velik buka
"Higijena,lokacija","Suvise mala soba i kupatilo,skuceno",5,"Higijena,lokacija Suvise mala soba i kupatilo,skuceno",neutralan,higijenalokacija suvisiti mali soba kupatiloski
restoran doručak osoblje,"neprijatni mirisi u sobi sa djakuzijem, djakuzi je mali i ne radi, bazen zatvoren, sauna zatvorena, nije hotel sa 4 zvezdice.",5,"restoran doručak osoblje neprijatni mirisi u sobi sa djakuzijem, djakuzi je mali i ne radi, bazen zatvoren, sauna zatvorena, nije hotel sa 4 zvezdice.",neutralan,restoran doručak osoblje neprijatan miris soba djakuzija djakuza mali raditi bazen zatvoriti saun zatvoriti hotel zvezdica
"Dorucak dugo cekala,","smece ispod prozora, *kontejneri koji  neprijatno mirisu,  prljavi prozori, otkacene zavese,prasina,",4,"Dorucak dugo cekala, smece ispod prozora, *kontejneri koji  neprijatno mirisu,  prljavi prozori, otkacene zavese,prasina,",neutralan,dorucak dugo cekati smeca ispod prozor kontejner neprijatno mirisati prljaviti prozor otkaciti zaveseprasina
,Soba je bila prasnjava,5, Soba je bila prasnjava,neutralan,soba prasnjav
"• Simpatičan apartman na dobroj lokaciji
• Vrlo lak check in","• Čistoća bi mogla biti na višem nivou
• Apartman je okrenut ka vrlo prometnoj ulici pa je buka poprilična",6,"• Simpatičan apartman na dobroj lokaciji
• Vrlo lak check in • Čistoća bi mogla biti na višem nivou
• Apartman je okrenut ka vrlo prometnoj ulici pa je buka poprilična",neutralan,simpatičan apartman dobar lokacija lak check in čistoć moći visok nivo apartman okrenuti prometan ulica buka poprilični
,"Nismo ni boravili jer je krajnje neprofesionalno bilo sa domaćinove strane da ceo dan čekamo da nam se javi gde da preuzmemo ključeve i kada, odbijanje poziva, da bi na kraju veče pred polazak u 21:30h dobili SMS poruku kako je došlo do greške i preklapanja datuma i da apartman nije dostupan.",4," Nismo ni boravili jer je krajnje neprofesionalno bilo sa domaćinove strane da ceo dan čekamo da nam se javi gde da preuzmemo ključeve i kada, odbijanje poziva, da bi na kraju veče pred polazak u 21:30h dobili SMS poruku kako je došlo do greške i preklapanja datuma i da apartman nije dostupan.",neutralan,boraviti krajnji neprofesionalan domaćin strana ceo dan čekati javiti preuzemoti ključeva odbijanje pozivati kraj veče pred polazak h sms poruka doći do greški preklapanje datum apartman dostupan
"Lokacija, hrana, osoblje u restoranu","U jacuzzi kadi kad smo pronašli jagodu u fazi raspadanja, i ceo apartman je jako smrdeo na kanalizaciju, svaki put kad dune vetar iz kamina je dolazio nepodnosljiv smrad.",5,"Lokacija, hrana, osoblje u restoranu U jacuzzi kadi kad smo pronašli jagodu u fazi raspadanja, i ceo apartman je jako smrdeo na kanalizaciju, svaki put kad dune vetar iz kamina je dolazio nepodnosljiv smrad.",neutralan,lokacija hran osoblje restoran jacuzza kazati kad pronaći jagod faza raspadanje ceo apartman jako smrdeti kanalizacija svaki kad duniti vetar kamina dolaziti nepodnosljiv smrad
"Hotel super izgleda, apartman je bio kao na slikama, lepo sređen, svetao i komforan sa finom, ušuškanom terasom. Krevet je jako udoban. Kuhinja nije najbolje opremljena, ali svakako je nismo koristili pa nije smetalo, osim za pranje sudova, jer nema deterdženta i sunđera. 
Doručak na bazi švedskog stola preko vikenda je sasvim korektan, preko nedelje se bira sa menija i sve je bilo ukusno. Sve u svemu, lokacija, enterijer hotela i hrana su dobri.","Osoblje je delovalo poluprofesionalno, odnosno malo nesnađeno. Iskomunicirala sam pre dolaska za krevetac za bebu, nije ga bilo u sobi, donešen je naknadno nakon podsećanja. Kada smo ušli u apartman bilo je hladno, grejanje nije bilo uključeno, termometar u dnevnoj sobi je pokazivao 18 stepeni. S obzirom da smo boravili sa bebom (a i da nismo), bitno nam je da temperatura prostorije bude prijatna, pogotovo što smo u oktobru na planini i što je navedeno u opisu sobe da ima grejanja. Kada je muž zamolio na recepciji da se uključi grejanje, rečeno mu je da nije moguće jer im još nije krenula sezona grejanja. Pritom su u apartmanu norveški radijatori i moguće ih je samostalno uključiti, ali smo hteli da proverimo sa osobljem. Onda sam sišla drugi put do recepcije i rekla da ćemo u tom slučaju potražiti drugi smeštaj jer bih u suprotnom izabrala brvnaru gde znam da treba da naložim, a ne hotel. Nakon toga je došao čovek i podesio nam radijatore. Druga stvar- izabrala sam hotel zbog dve stvari- doručka i spa/bazena. Spa i bazen nismo na kraju ni iskoristili. Prvi dan nam je rečeno da nema mesta. Drugi dan sam rezervisala jutarnji termin i recepcionarka mi je rekla da dođem posle doručka po bademantil, da bi kada sam došla rekla kako nemaju više bademantila jer im firma koja pere nije donela taj dan, a kada sam pitala da li će biti kasnije u toku dana rekla je da firma ne radi nedeljom i da se ogrnemo nekim peškirom, što mi je bilo neprofesionalno i neverovatno za hotel koji se ovako reklamira i izgleda. To isto popodne kada smo se vratili do hotela da pitam za termin za sutra, druga recepcionarka rekla da su im stigli bademantili. Predveče smo odlučili da najzad posetimo bazen ali kada smo ušli bilo je ledeno i devojka koja tu radi nam je rekla da imaju problem sa ventilacijom i da bolje dođemo sutra kada se popravi. Sutradan kvar nije bio rešen i predloženo je da se od ukupne cifre odbije cena za spa kako ne bi sa bebom jurili drugi smeštaj.",6,"Hotel super izgleda, apartman je bio kao na slikama, lepo sređen, svetao i komforan sa finom, ušuškanom terasom. Krevet je jako udoban. Kuhinja nije najbolje opremljena, ali svakako je nismo koristili pa nije smetalo, osim za pranje sudova, jer nema deterdženta i sunđera. 
Doručak na bazi švedskog stola preko vikenda je sasvim korektan, preko nedelje se bira sa menija i sve je bilo ukusno. Sve u svemu, lokacija, enterijer hotela i hrana su dobri. Osoblje je delovalo poluprofesionalno, odnosno malo nesnađeno. Iskomunicirala sam pre dolaska za krevetac za bebu, nije ga bilo u sobi, donešen je naknadno nakon podsećanja. Kada smo ušli u apartman bilo je hladno, grejanje nije bilo uključeno, termometar u dnevnoj sobi je pokazivao 18 stepeni. S obzirom da smo boravili sa bebom (a i da nismo), bitno nam je da temperatura prostorije bude prijatna, pogotovo što smo u oktobru na planini i što je navedeno u opisu sobe da ima grejanja. Kada je muž zamolio na recepciji da se uključi grejanje, rečeno mu je da nije moguće jer im još nije krenula sezona grejanja. Pritom su u apartmanu norveški radijatori i moguće ih je samostalno uključiti, ali smo hteli da proverimo sa osobljem. Onda sam sišla drugi put do recepcije i rekla da ćemo u tom slučaju potražiti drugi smeštaj jer bih u suprotnom izabrala brvnaru gde znam da treba da naložim, a ne hotel. Nakon toga je došao čovek i podesio nam radijatore. Druga stvar- izabrala sam hotel zbog dve stvari- doručka i spa/bazena. Spa i bazen nismo na kraju ni iskoristili. Prvi dan nam je rečeno da nema mesta. Drugi dan sam rezervisala jutarnji termin i recepcionarka mi je rekla da dođem posle doručka po bademantil, da bi kada sam došla rekla kako nemaju više bademantila jer im firma koja pere nije donela taj dan, a kada sam pitala da li će biti kasnije u toku dana rekla je da firma ne radi nedeljom i da se ogrnemo nekim peškirom, što mi je bilo neprofesionalno i neverovatno za hotel koji se ovako reklamira i izgleda. To isto popodne kada smo se vratili do hotela da pitam za termin za sutra, druga recepcionarka rekla da su im stigli bademantili. Predveče smo odlučili da najzad posetimo bazen ali kada smo ušli bilo je ledeno i devojka koja tu radi nam je rekla da imaju problem sa ventilacijom i da bolje dođemo sutra kada se popravi. Sutradan kvar nije bio rešen i predloženo je da se od ukupne cifre odbije cena za spa kako ne bi sa bebom jurili drugi smeštaj.",neutralan,hotel super izgleda apartman kao slika lepo srediti svetati komforan fin ušuškan teras krevet jako udoban kuhinje dobro opremiti svakako koristiti smetati osim pranje sud nemati deterdžent sunđer doručak baza švedski stol vikend sasvim korektan nedelja birati sav ukusan sav lokacija enterijer hotel hrana dobar osoblje delovati poluprofesionalno odnosno malo nesnađeno iskomunicirati dolazak krevetac beba soba donesti naknadan podsećanje ući apartman hladan grejanje uključiti termometar dnevni soba pokazivati stepen obzir boraviti beb bitno temperatura prostorija prijatan pogotovo oktobar planina navesti opis soba imati grejanje muž zamoliti recepcija uključiti grejanje reći moguć još no krenuti sezona grejanje prita apartman norveški radijator moguć samostalno uključiti proveriti osoblje onda sići drugi do recepcija reći slučaj potražiti drugi smeštaj suprotan izabrati brvnar trebati naložiti hotel doći čovek podesiti radijatora drugi stvar izabrati hotel zbog stvar doručka spabaziti spa bazen kraj iskoristiti dan reći nemati mesto drugi dan rezervisati jutarnji termin recepcionarka reći doći posle doručka bademantil doći reći nemati mnogo bademantila firma pera doneti dan pitati kasno tok dan reći firma raditi nedelja ogrneti peškir neprofesionalan neverovatno hotel ovako reklamir izgleda isto popodne vratiti do hotel pitati termin sutra drugi recepcionarka reći stići bademantiti predveče odlučiti najzad posetiti bazen ući leden devojka raditi reći imati problem ventilacija dobro doći sutra popraviti sutradan kvar rešiti predložiti ukupan cifra odbiti cena spa bebe juriti drugi smešt j
"Ljubazno osoblje.
Hrana je odlicna.","Higijena nije na zavidnom nivou,voda u hidromasaznoj kadi jako prljava,u bazenu takodje.",6,"Ljubazno osoblje.
Hrana je odlicna. Higijena nije na zavidnom nivou,voda u hidromasaznoj kadi jako prljava,u bazenu takodje.",neutralan,ljubazan osoblje hrana odlican higilen zavidan nivouvod hidromasazan jako prljavati bazena takodje
Dorucak je bio odličan,Spa centar je smrdeo na kanalizaciju i voda je bila zelene boje,5,Dorucak je bio odličan Spa centar je smrdeo na kanalizaciju i voda je bila zelene boje,neutralan,dorucak odličan spa centar smrdeti kanalizacija voda zelen bojati
Apartman je lepo opremljen.,Spa centar uzasno mali za broj ljudi koji boravi u hotelu.,6,Apartman je lepo opremljen. Spa centar uzasno mali za broj ljudi koji boravi u hotelu.,neutralan,apartman lepo opremiti spa centar uzasno mali čovek boraviti hotel
"Osoblje je profesionalno i svi se maksimalno trude. Hrana je raznovrsna, sveža i potpuno zadovoljava kriterijum po svim aspektima doručka za hotel ove kategorije, da je poslužena u nekom adekvatnijem, konfornijem prostoru bila bi jedna od dobrih strana ovog hotela.","Koncept restorana je totalno pogrešan, kao i mnogi aspekti u ovom hotelu koji apsolutno ne podržavaju kapacitet hotela. Preopterećen restoran, raspored i funkcionalnost stolova, nedovoljni kapacitet mesta za sedenje, postavka gostiju na barskim stolovima, kolaps prilikom izuzimanja hrane, apsolutno pogrešan koncept i za goste našeg profila apsolutno neprimeren. Bazen ista problematika, jedna sauna, razvaljene stube za izlazak iz bazena očugledno nikoga ne uznemiravaju dok neko ne polomi noge prilikom izlaska, jacuzzi u koga je grozno pogledati a ne ući u vodu koju menjaju izgleda kad se sete, strašno... U celini je sve minijaturno, prebukirano i utisak može varirati isključivo od popunjenosti hotela. Apsolutno preambiciozno sa kapacitetom najbitnijih prostorija za duplo manje soba sa koliko ovaj hotel inače raspolaže. Komfornim sobama utisak kvare najmanje 2 stvari i to ZAGREJANOST istih sa nekim GORENJE radijatorima tipa kod nas poznatih kao ""Norveški"" koji u principu mogu da zagreju relativno brzo sobu oko 20-25 min što može u zimskim uslovima da Vam pravi veliki problem pogotovo ako ste sa decom, a da stvar bude još frapantnija kada izvadite karticu prilikom izlaska iz sobe i oni se gase tako da su Vam potrebne 2 kartice kako bi ste uspeli da se vratite u zagrejanu sobu. Na recepciji dobijate 1 karticu pa ako se žalite na hladnoću onda Vam izvade i drugu. Ušteda na grejanju na izuzetno loš način. Druga stvar je čistoća same sobe koja je na nivou ispod kategorije hotela. Fotografije na platformama su izvanredne i primamljive, stvarnost totalno drugačija.",5,"Osoblje je profesionalno i svi se maksimalno trude. Hrana je raznovrsna, sveža i potpuno zadovoljava kriterijum po svim aspektima doručka za hotel ove kategorije, da je poslužena u nekom adekvatnijem, konfornijem prostoru bila bi jedna od dobrih strana ovog hotela. Koncept restorana je totalno pogrešan, kao i mnogi aspekti u ovom hotelu koji apsolutno ne podržavaju kapacitet hotela. Preopterećen restoran, raspored i funkcionalnost stolova, nedovoljni kapacitet mesta za sedenje, postavka gostiju na barskim stolovima, kolaps prilikom izuzimanja hrane, apsolutno pogrešan koncept i za goste našeg profila apsolutno neprimeren. Bazen ista problematika, jedna sauna, razvaljene stube za izlazak iz bazena očugledno nikoga ne uznemiravaju dok neko ne polomi noge prilikom izlaska, jacuzzi u koga je grozno pogledati a ne ući u vodu koju menjaju izgleda kad se sete, strašno... U celini je sve minijaturno, prebukirano i utisak može varirati isključivo od popunjenosti hotela. Apsolutno preambiciozno sa kapacitetom najbitnijih prostorija za duplo manje soba sa koliko ovaj hotel inače raspolaže. Komfornim sobama utisak kvare najmanje 2 stvari i to ZAGREJANOST istih sa nekim GORENJE radijatorima tipa kod nas poznatih kao ""Norveški"" koji u principu mogu da zagreju relativno brzo sobu oko 20-25 min što može u zimskim uslovima da Vam pravi veliki problem pogotovo ako ste sa decom, a da stvar bude još frapantnija kada izvadite karticu prilikom izlaska iz sobe i oni se gase tako da su Vam potrebne 2 kartice kako bi ste uspeli da se vratite u zagrejanu sobu. Na recepciji dobijate 1 karticu pa ako se žalite na hladnoću onda Vam izvade i drugu. Ušteda na grejanju na izuzetno loš način. Druga stvar je čistoća same sobe koja je na nivou ispod kategorije hotela. Fotografije na platformama su izvanredne i primamljive, stvarnost totalno drugačija.",neutralan,osoblje profesionalan sav maksimalno truditi hrana raznovrstan sveža potpuno zadovoljavati kriterijum sav aspekt doručkati hotel ovaj kategorija poslužiti adekvatan konforan prostor dobar strana ovaj hotel koncept restoran totalno pogrešan kao mnogi aspekt ovaj hotel apsolutno podržavati kapacitet hotel preopterećen restoran raspored funkcionalnost stol nedovoljan kapacitet mesto sedenje postavak gost barski stol kolaps prilikom izuzimanje hrana apsolutno pogrešan koncept gosta profil apsolutno neprimeren bazen isti problematika saun razvaljen stuba izlazak bazen očugledno uznemiravati polomiti noga prilikom izlazak jacuzza grozno pogledati ući voda menjati izgleda kad setiti strašan celina sav minijaturan prebukirati utisak moći varirati isključivo popunjenost hotel apsolutno preambiciozno kapacitet zotan prostorija duplo malo soba koliko ovaj hotel inače raspolagati komforan soba utisak kvara malo stvar zagrejanost isti gorenje radijator tip kod poznati kao norveški princip moći zagrejati relativno brzo soba oko min moći zimski uslov pravi velik problem pogotovo deca stvar frapantan izvaditi kartica prilikom izlazak soba gasti potreban kartica uspeti vratiti zagrejan soba recepcija dobijati kartica žaliti hladnoća onda izvaditi drugi uštedati grejanje izuzetno loš način drugi stvar čistoć soba nivo ispod kategorija hotel fotografija platforma izvanredan primamljiv stvarnost totalno drugačiji
Objekat je cist i relativno blizu centra. Dorucak je ok.,Grejanje u objektu je blagi uzas. Sistem koji nije efikasan i koji se ne moze nastelovati. Punjenje elektricnog auta saznajete da se naplacuje kada odjavljujete sobu i to fiksno 1500 dinara. Znaci bezobrazno. Pogled iz hotela je uglavnom u susedne zgrade…papuce za jednokratnu upotrebu se peru i vracaju gostima…ne znam sta bi rekao…,4,Objekat je cist i relativno blizu centra. Dorucak je ok. Grejanje u objektu je blagi uzas. Sistem koji nije efikasan i koji se ne moze nastelovati. Punjenje elektricnog auta saznajete da se naplacuje kada odjavljujete sobu i to fiksno 1500 dinara. Znaci bezobrazno. Pogled iz hotela je uglavnom u susedne zgrade…papuce za jednokratnu upotrebu se peru i vracaju gostima…ne znam sta bi rekao…,neutralan,objekat cist relativno centar dorucak ok grejanje objekt blag uzas sistem efikasan moći nastelovati punjenje elektrican aut saznaveti naplacovati odjavljiveti soba fiksan dinar znaciti bezobrazno pogled hotel uglavnom susedan zgradepapuca jednokratan upotreba pera vracati gostiman reći
"Zaista lep ambijent, prijatna atmosfera, kao i osoblje.","Grejanje u sobi koje ne moze da bude ispod 24 stepeni, sto je stvarno neverovatno, Spa koji ne radi isto kao i djakuzi ( 4 dana ni jednom nije radilo)",5,"Zaista lep ambijent, prijatna atmosfera, kao i osoblje. Grejanje u sobi koje ne moze da bude ispod 24 stepeni, sto je stvarno neverovatno, Spa koji ne radi isto kao i djakuzi ( 4 dana ni jednom nije radilo)",neutralan,zaista lep ambijent prijatan atmosfera kao osoblje grejanje soba moći ispod stepen sto stvarno neverovatno spa raditi isto kao djakuza dan raditi
Prostrano kupatilo,"Mali prostor, bez kuhinje",6,"Prostrano kupatilo Mali prostor, bez kuhinje",neutralan,prostran kupatilo mali prostor kuhinje
Dobra Lokacija. Ima svoj parking. Ljubazno osoblje,"Izuzetno mali objekat (studio). skup za te pare.
jako lose osvetljenje.",5,"Dobra Lokacija. Ima svoj parking. Ljubazno osoblje Izuzetno mali objekat (studio). skup za te pare.
jako lose osvetljenje.",neutralan,dobar lokacija imati parking ljubazan osoblje izuzetno mali objekat studio skup para jako lositi osvetljenje
Prijatno osoblje izasli su u susret ranijem prijavljivanju,"Prosli put smo bili u sobi koja zaista vredi, sada smo bili smesteni u sobi gde je krevet bio neudoban, kako se okrenes on se cuje, samo sto se ne raspadne i izolacija zidova je veoma losa(bukvalno smo culi svaki korak, rec ljudi iz soba okolo)",5,"Prijatno osoblje izasli su u susret ranijem prijavljivanju Prosli put smo bili u sobi koja zaista vredi, sada smo bili smesteni u sobi gde je krevet bio neudoban, kako se okrenes on se cuje, samo sto se ne raspadne i izolacija zidova je veoma losa(bukvalno smo culi svaki korak, rec ljudi iz soba okolo)",neutralan,prijatan osoblje izasti susret ran prijavljivanje prosli soba zaista vrediti sada smestiti soba krevet neudoban okreneti cujati sto raspasti izolacija zid veoma losabukvalno cuti svaki korak rec čovek soba okolo
"Apartmani se nalaze u samom centru grada, sto je jedina prednost ovog objekta.","Posteljina je bila prljava, kao i sam apartman. Nedovoljno peskira u kupatilu.",4,"Apartmani se nalaze u samom centru grada, sto je jedina prednost ovog objekta. Posteljina je bila prljava, kao i sam apartman. Nedovoljno peskira u kupatilu.",neutralan,apartman nalaziti centar grad sto prednost ovaj objekt posteljina prljav kao apartman nedovoljno peskir kupatila
Lokacija i osoblje,Higijena,6,Lokacija i osoblje Higijena,neutralan,lokacija osoblje higilen
Dobra lokacija.,"Nedovoljan priliv svežeg vazduha, zagušljivo, kupatilo staro i raspali tuš",6,"Dobra lokacija. Nedovoljan priliv svežeg vazduha, zagušljivo, kupatilo staro i raspali tuš",neutralan,dobar lokacija nedovoljan priliv svež vazduha zagušljiv kupatilo staro raspasti tuš
"Lokacija, ljubazno osoblje, higijena objekta odlicna","Izuzetno uska garaža, pregradni zidovi veoma tanki tako da se sve čuje izmedju prostorija",6,"Lokacija, ljubazno osoblje, higijena objekta odlicna Izuzetno uska garaža, pregradni zidovi veoma tanki tako da se sve čuje izmedju prostorija",neutralan,lokacija ljubazan osoblje higiti objekt odlican izuzetno uski garaž pregradni zid veoma tanki sav čuti izmedju prostorija
Parking i blizina centra.,Apartman se osećao na mačiju mokraću i bilo je bučno.,6,Parking i blizina centra. Apartman se osećao na mačiju mokraću i bilo je bučno.,neutralan,parking blizina centar apartman osećati mačija mokrati bučan
lokacija je dobra i krevet je udoban za SPAVANJE,"1.Krevet krcka ceo, kako god da se pomerimo on krcka
2. Bilo je mrava u sobi
3. U kupatilu u tuš kabini bilo je nečije kose jer nije lepo očišćeno
4. Internet sifra nije bila tačna i bili smo uskraćeni za isti.",4,"lokacija je dobra i krevet je udoban za SPAVANJE 1.Krevet krcka ceo, kako god da se pomerimo on krcka
2. Bilo je mrava u sobi
3. U kupatilu u tuš kabini bilo je nečije kose jer nije lepo očišćeno
4. Internet sifra nije bila tačna i bili smo uskraćeni za isti.",neutralan,lokacija dobar krevet udoban spavanje krevet krcka ceo god pomeriti krcka mravo soba kupatila tuš kabina nečiji kosak lepo očisiti internet sifra tačan uskratiti isti
Lokacija dobra. Domacin ljubazan i korektan.,Namestaj u stanu u losem stanju. Soba u koju smo usli osecala se na pusacki dim.,6,Lokacija dobra. Domacin ljubazan i korektan. Namestaj u stanu u losem stanju. Soba u koju smo usli osecala se na pusacki dim.,neutralan,lokacija dobar domaciti ljubazan korektan namestaj stan los stanje soba usli osecati pusacak dim
"Lokacija je odlična, blizu centra grada i obezbeđen parking.",Naša soba je bila tik do ulice i izolacija je nikakva. Sva buka spolja se čula. Takođe bi trebalo malo više poraditi na higijeni u sobama.,5,"Lokacija je odlična, blizu centra grada i obezbeđen parking. Naša soba je bila tik do ulice i izolacija je nikakva. Sva buka spolja se čula. Takođe bi trebalo malo više poraditi na higijeni u sobama.",neutralan,lokacija odličan centar grad obezbediti parking soba tik do ulica izolacija nikakav sav buka spolje čuti takođe trebati malo mnogo poraditi higijen sobam
Dopala mi se samo lokacija jer je u centru grada.,"Parking je izuzetno uzan, potrebno je veliko umece parkirati na odredjena parking mesta.
Imali smo de lux sobu koja ni L od luxa nema (""Deluks Dvokrevetna Soba sa Bračnim Krevetom""). Soba je na spratu i verovatno je nastala od nekog tavanskog prostora. Pravljena je verovatno za Liliputance. Kosine u kupatilu i wc-u su uzasne. Samo dete moze da stoji a da glavom ne dodiruje plafon. Muskarci se prisecaju vojske i obuke o ciljanju na daljinu. U opisu takodje stoji da soba poseduje hidromasaznu kadu, a to nije tacno, kada je obicna.
Higijena nije na zavidnom nivou.
Nestvarno mi je da ovaj objekat moze imati tako visoku ocenu. Prosto neverovatno!",4,"Dopala mi se samo lokacija jer je u centru grada. Parking je izuzetno uzan, potrebno je veliko umece parkirati na odredjena parking mesta.
Imali smo de lux sobu koja ni L od luxa nema (""Deluks Dvokrevetna Soba sa Bračnim Krevetom""). Soba je na spratu i verovatno je nastala od nekog tavanskog prostora. Pravljena je verovatno za Liliputance. Kosine u kupatilu i wc-u su uzasne. Samo dete moze da stoji a da glavom ne dodiruje plafon. Muskarci se prisecaju vojske i obuke o ciljanju na daljinu. U opisu takodje stoji da soba poseduje hidromasaznu kadu, a to nije tacno, kada je obicna.
Higijena nije na zavidnom nivou.
Nestvarno mi je da ovaj objekat moze imati tako visoku ocenu. Prosto neverovatno!",neutralan,dopasti lokacija centar grad parking izuzetno uzan potreban velik umeca parkirati odrediti parking mesto imati de lux soba luxa nemati deluks dvokrevetan soba bračan krevet soba sprat verovatno nastati tavanski prostor praviti verovatan liliputanca kosina kupatila wca uzasan dete moći stajati glav dodirivati plafon muskarac prisecati vojska obuka ciljanja daljina opis takodje stajati soba posedovati hidromasazan tacno obican higilen zavidan nivo nestvarno ovaj objekat moći imati visok ocena prosto neverovatno
