positive,negative,rating,comments
"Lokacija, čistoća, udobnost",-,9,"Lokacija, čistoća, udobnost -"
Sve odlicno!,,10,Sve odlicno! 
"Neverovatno ljubazno i srdačno osoblje, ukusan doručak, obezbeđen parking, čiste sobe. Sigurno ću ponovo odsesti u ovom hotelu kada budem bio u Beogradu.",,10,"Neverovatno ljubazno i srdačno osoblje, ukusan doručak, obezbeđen parking, čiste sobe. Sigurno ću ponovo odsesti u ovom hotelu kada budem bio u Beogradu. "
"Odličan odnos cene i kvaliteta. Osoblje je preljubazno, doručak raznovrstan i bogat, sobe čiste, kreveti udobni. Za svaku preporuku!",Sve je bilo odlično!,10,"Odličan odnos cene i kvaliteta. Osoblje je preljubazno, doručak raznovrstan i bogat, sobe čiste, kreveti udobni. Za svaku preporuku! Sve je bilo odlično!"
"Doručak izvanredan,hrana ukusna,izbor  jela iznad očekivanja.
Osoblje na recepciji ljubazno. Velika pomoć gospodina Dušana prilikom parkinga vozila.",Nemam primjedbi niti bih mogao zahtijevati bilo šta bolje.,10,"Doručak izvanredan,hrana ukusna,izbor  jela iznad očekivanja.
Osoblje na recepciji ljubazno. Velika pomoć gospodina Dušana prilikom parkinga vozila. Nemam primjedbi niti bih mogao zahtijevati bilo šta bolje."
Doručak.,,10,Doručak. 
"Uredna  soba i dobar dorucak,voda nesto hladnija u bazenu, al nije strasno",,10,"Uredna  soba i dobar dorucak,voda nesto hladnija u bazenu, al nije strasno "
"Sve. Sobe su lijepe,kreveti udobni,hrana ukusna.Osoblje ljubazno,iako sam dosla rano ujutru (prije check inn-a),bez nadoknade su mi dozvolili da udjem u sobu.",-,10,"Sve. Sobe su lijepe,kreveti udobni,hrana ukusna.Osoblje ljubazno,iako sam dosla rano ujutru (prije check inn-a),bez nadoknade su mi dozvolili da udjem u sobu. -"
"Fenomenalna lokacija, divan enterijer, preljubazno osoblje i predivan doručak 🙌","Kupatilo je imalo problem sa odvodom. Nismo prijavili, ali verujem da bi odmah rešili.",10,"Fenomenalna lokacija, divan enterijer, preljubazno osoblje i predivan doručak 🙌 Kupatilo je imalo problem sa odvodom. Nismo prijavili, ali verujem da bi odmah rešili."
"Cistoca,odlican odnos cene i kvaliteta.",,10,"Cistoca,odlican odnos cene i kvaliteta. "
"Hotel je za svaku preporuku i pohvalu. Osoblje je maksimalno ljubazno i predusretljivo. Apartman koji smo dobili kao upgrade je fantastican - uredan, udoban, prostran, cist. Hrana u restoranu je odlicna. Spa centar - saune, bazen - odlicno za odmoriti dusu i tijelo. Raspoloziv parking. Uvijek se rado vracamo ovom hotelu.",,10,"Hotel je za svaku preporuku i pohvalu. Osoblje je maksimalno ljubazno i predusretljivo. Apartman koji smo dobili kao upgrade je fantastican - uredan, udoban, prostran, cist. Hrana u restoranu je odlicna. Spa centar - saune, bazen - odlicno za odmoriti dusu i tijelo. Raspoloziv parking. Uvijek se rado vracamo ovom hotelu. "
Da,,10,Da 
Vrlo ljubazno osoblje koje je susretljivo i korektno. Sve pohvale!,,10,Vrlo ljubazno osoblje koje je susretljivo i korektno. Sve pohvale! 
"Lokacija hotela, parking, komforni aparman (hvala jos jednom), spa centar i svakako ljubaznost osoblja. Hotel je za svaku preporuku i uvijek se istom vracamo kada smo u BG.",,10,"Lokacija hotela, parking, komforni aparman (hvala jos jednom), spa centar i svakako ljubaznost osoblja. Hotel je za svaku preporuku i uvijek se istom vracamo kada smo u BG. "
"Ekipa koja radi na recepcije je sjajna, Natasa, Marija(mislim da se zove) i Milos!! Svaka pohvala!!",,10,"Ekipa koja radi na recepcije je sjajna, Natasa, Marija(mislim da se zove) i Milos!! Svaka pohvala!! "
"Osoblje hotela je bilo fenomenalno! Veoma uslužni, prijatni i brzi recepcionari.",,10,"Osoblje hotela je bilo fenomenalno! Veoma uslužni, prijatni i brzi recepcionari. "
Izuzetno ljubazno osoblje,,10,Izuzetno ljubazno osoblje 
Osoblje na recepciji je bilo izuzetno prijatno ☺️,,10,Osoblje na recepciji je bilo izuzetno prijatno ☺️ 
"Nikad ljubaznije osoblje,pogotovo recepcionerke!Sve pohvale...",,10,"Nikad ljubaznije osoblje,pogotovo recepcionerke!Sve pohvale... "
"Odlican odnos cijene, kvaliteta, lokacije, cistoce i udobnosti",,10,"Odlican odnos cijene, kvaliteta, lokacije, cistoce i udobnosti "
"Ispunili su sva očekivanja, osoblje je jako ljubazno a i sve je čisto i uredno. 😍",,10,"Ispunili su sva očekivanja, osoblje je jako ljubazno a i sve je čisto i uredno. 😍 "
"Osoblje, higijena, hrana...",,10,"Osoblje, higijena, hrana... "
Prezadovoljni smo. Bas smo se odmorili i opustili. Svima preporucujemo.,,10,Prezadovoljni smo. Bas smo se odmorili i opustili. Svima preporucujemo. 
"Dolazimo ovde uvek kad smo u Bgd.Zaista lep hotel,čist.Doručak dobar.",Buka.Da li je loša izolacija ili loši kreveti.Celu noc nije moglo da se spava  od vriske i lomljenja kreveta iz susednih soba.,2,"Dolazimo ovde uvek kad smo u Bgd.Zaista lep hotel,čist.Doručak dobar. Buka.Da li je loša izolacija ili loši kreveti.Celu noc nije moglo da se spava  od vriske i lomljenja kreveta iz susednih soba."
"Odlicna lokacija, odlican hotel, kulturno i fino mesto",,10,"Odlicna lokacija, odlican hotel, kulturno i fino mesto "
,"Trebalo je da u sklopu ""romantičnog vikenda za dvoje"" dobijemo činiju voća i flašu vina, od toga ništa. Bilo je previše hladno, a njihovo jedino objašnjenje je bilo da im je ceo sistem još uvek podešen na hlađenje.",5," Trebalo je da u sklopu ""romantičnog vikenda za dvoje"" dobijemo činiju voća i flašu vina, od toga ništa. Bilo je previše hladno, a njihovo jedino objašnjenje je bilo da im je ceo sistem još uvek podešen na hlađenje."
,"Sve kako treba, preljubazni su svi, hrana dobra, parking obezbeđen, sve na svom mestu.",10," Sve kako treba, preljubazni su svi, hrana dobra, parking obezbeđen, sve na svom mestu."
Sve ok,Nemam komentar,10,Sve ok Nemam komentar
,"Doručak je uglavnom svinjski i nije imalo izbora, imajte obzira da dolaze i gosti koji ne jedu svinjsko meso.",10," Doručak je uglavnom svinjski i nije imalo izbora, imajte obzira da dolaze i gosti koji ne jedu svinjsko meso."
Lokacija poznata od ranije i to je bio preduslov za izbor hotela. Prihvatljiv bar i ljubazna konobarica. Recepcioneri na nivou.,"Parking se naplaćuje, radnik na parkingu i recepcioner ne daju usaglašene informacije: recepcioner je rekao da ima slobodnih mesta, a radnik da je sve zauzeto i poslao me je da tražim parking okolo između zgrada.
Doručak nešto ispod proseka, lošije nego u drugim hotelima sličnog ranga.
Mini bar u sobi je bio prazan.
Kupatilo u starom maniru, zahteva se renoviranje.",4,"Lokacija poznata od ranije i to je bio preduslov za izbor hotela. Prihvatljiv bar i ljubazna konobarica. Recepcioneri na nivou. Parking se naplaćuje, radnik na parkingu i recepcioner ne daju usaglašene informacije: recepcioner je rekao da ima slobodnih mesta, a radnik da je sve zauzeto i poslao me je da tražim parking okolo između zgrada.
Doručak nešto ispod proseka, lošije nego u drugim hotelima sličnog ranga.
Mini bar u sobi je bio prazan.
Kupatilo u starom maniru, zahteva se renoviranje."
Lokacija,"Nema dovoljno obezbeđenog parkinga
Zagusljiva neizluftirana soba neugodan boravak u istoj",3,"Lokacija Nema dovoljno obezbeđenog parkinga
Zagusljiva neizluftirana soba neugodan boravak u istoj"
Doručak je bio odličan i higijena hotela,"Bazen nismo mogli da koristimo jer je bila školica plivanja to nigde nije pisalo da se bazen ne moze koriatiti subotom pre podne. Verovatno ne bih rezervisao. Sobe minijaturne, delimicno renovirane, neudobne. Osoblje nezainteresovano. Imali smo problem sa kreditnom karticom, ali službenica umesto da pomogne (problem je bio u hotelskom terminalu) je rekla ne znam a da vi platite u kesu. Sve u svemu nista za te pare...",3,"Doručak je bio odličan i higijena hotela Bazen nismo mogli da koristimo jer je bila školica plivanja to nigde nije pisalo da se bazen ne moze koriatiti subotom pre podne. Verovatno ne bih rezervisao. Sobe minijaturne, delimicno renovirane, neudobne. Osoblje nezainteresovano. Imali smo problem sa kreditnom karticom, ali službenica umesto da pomogne (problem je bio u hotelskom terminalu) je rekla ne znam a da vi platite u kesu. Sve u svemu nista za te pare..."
"Ljubazno osoblje, čistoća hotela, odličan švedski sto za doručak, spa centar, obezbjeđen parking.
Vraćamo se svaki put u ovaj hotel.",,10,"Ljubazno osoblje, čistoća hotela, odličan švedski sto za doručak, spa centar, obezbjeđen parking.
Vraćamo se svaki put u ovaj hotel. "
,"Gospođa, koja je radila za recepcijom u popodnevnoj smeni, bila je jako ljubazna i predusretljiva sve pohvale za nju. Međutim, recepcioner u noćnoj smeni, Stefan mislim da mu je ima, prvo nije nas pozvao, a imale smo naručeno buđenje za avion rano ujutru, što znači da je bilo do njega propustile bismo avion,  onda je bio jako neljubazan i kad smo mu objašnjavale da imamo zakazan taksi do aerodroma.",3," Gospođa, koja je radila za recepcijom u popodnevnoj smeni, bila je jako ljubazna i predusretljiva sve pohvale za nju. Međutim, recepcioner u noćnoj smeni, Stefan mislim da mu je ima, prvo nije nas pozvao, a imale smo naručeno buđenje za avion rano ujutru, što znači da je bilo do njega propustile bismo avion,  onda je bio jako neljubazan i kad smo mu objašnjavale da imamo zakazan taksi do aerodroma."
Dorucak ok,Katastrofa  sauna i bazen odvratno prljave pločice sa zalepljenim slinama tusevi puni dlaka uzas!!!,3,Dorucak ok Katastrofa  sauna i bazen odvratno prljave pločice sa zalepljenim slinama tusevi puni dlaka uzas!!!
,"Sobarica mi je ukrala novac, trazio sam na recepciji da mi vrate kamere, rekli su da kamere u hodniku ne pokrivaju ulaz u moju sobu.
Strasno,vodite racuna!",1," Sobarica mi je ukrala novac, trazio sam na recepciji da mi vrate kamere, rekli su da kamere u hodniku ne pokrivaju ulaz u moju sobu.
Strasno,vodite racuna!"
Sve je fenomenalno,,10,Sve je fenomenalno 
Sve🥰,,10,Sve🥰 
sve je ok osim sto su sobe neodrzavane i zapustene….osoblje je ljubazno i hotel je lep….,,6,sve je ok osim sto su sobe neodrzavane i zapustene….osoblje je ljubazno i hotel je lep…. 
"Stvarno odlican apartman, vlasnici vrlo ljubazni. Sve preporuke!",,10,"Stvarno odlican apartman, vlasnici vrlo ljubazni. Sve preporuke! "
"Ljubaznost domaćina i čistoća apartmana.
Dragan i Goga su nas dočekali sa toliko topline, da nam je odmah bilo jasno da smo napravili pravi izbor. Ljudi prosto odišu dobrotom i prijatnošću.
Sve su nam spremili, da nismo morali da se angažujemo oko bilo čega. 
Od kreveca i posteljine za našu dvogodišnju devojčicu, do jabuka i smeđeg šećera.
Apartman, čista desetka. Nov nameštaj, potpuno isto, kao na fotografijama u opisu.
Čisto kupatilo, udobni i čisti dušeci i jastuci, što je nama najbitnije. 
Stočić i stolice za terasu, dodatni plus.
Na parkingu uvek mesta.
Da ne zaboravim lokaciju. Mirno i tiho. Drugi red od šume. 
Idealno provedenih sedam dana.",Nema toga što nam se nije dopalo.,10,"Ljubaznost domaćina i čistoća apartmana.
Dragan i Goga su nas dočekali sa toliko topline, da nam je odmah bilo jasno da smo napravili pravi izbor. Ljudi prosto odišu dobrotom i prijatnošću.
Sve su nam spremili, da nismo morali da se angažujemo oko bilo čega. 
Od kreveca i posteljine za našu dvogodišnju devojčicu, do jabuka i smeđeg šećera.
Apartman, čista desetka. Nov nameštaj, potpuno isto, kao na fotografijama u opisu.
Čisto kupatilo, udobni i čisti dušeci i jastuci, što je nama najbitnije. 
Stočić i stolice za terasu, dodatni plus.
Na parkingu uvek mesta.
Da ne zaboravim lokaciju. Mirno i tiho. Drugi red od šume. 
Idealno provedenih sedam dana. Nema toga što nam se nije dopalo."
"Lep apartman, sve novo, cisto.
Lep pogled, centar 20 minuta laganim hodom.
Domacini super.",,10,"Lep apartman, sve novo, cisto.
Lep pogled, centar 20 minuta laganim hodom.
Domacini super. "
Све је било одлично !,,10,Све је било одлично ! 
"Pre svega utisak su mi ostavili vlasnici apartmana koji su izuzetno ljubazni i neverovatni ljudi. Jako lepa dobrodošlica. Apartman se nalazi na mirnoj lokaciji, krevet udoban, jastuci savršeni što mi se retko dešava na putovanjima. Nov, moderno opremljen, čistoća 10. Vratiću se sigurno 😊",/,10,"Pre svega utisak su mi ostavili vlasnici apartmana koji su izuzetno ljubazni i neverovatni ljudi. Jako lepa dobrodošlica. Apartman se nalazi na mirnoj lokaciji, krevet udoban, jastuci savršeni što mi se retko dešava na putovanjima. Nov, moderno opremljen, čistoća 10. Vratiću se sigurno 😊 /"
Cisto na prvom mestu.Sve je novo u apartmanu.Predivan deo za setnju .Ja sam bio poslom.ali cu otici i privatno.Ljubazni domacini.Poseduje sve sto je potrebno apartmanu.Kompletna kuhinja.Lep dnevni boravak.Spavaca soba bracni krevet.Ocena najvisa 10+,Nemamo nikakvih zamerki.Sve je u najboljem redu.,10,Cisto na prvom mestu.Sve je novo u apartmanu.Predivan deo za setnju .Ja sam bio poslom.ali cu otici i privatno.Ljubazni domacini.Poseduje sve sto je potrebno apartmanu.Kompletna kuhinja.Lep dnevni boravak.Spavaca soba bracni krevet.Ocena najvisa 10+ Nemamo nikakvih zamerki.Sve je u najboljem redu.
"I više nego zadovoljni! Sve je novo, čisto, lokacija je mirna, a domaćini preljubazni! Izašli su nam u susret čak i sa prevozom od stanice do apartmana! Sve preporuke. Super izbor i za porodicu i prijatelje. :)",,10,"I više nego zadovoljni! Sve je novo, čisto, lokacija je mirna, a domaćini preljubazni! Izašli su nam u susret čak i sa prevozom od stanice do apartmana! Sve preporuke. Super izbor i za porodicu i prijatelje. :) "
"Smeštaj je dobro opremljen, domacini odlicni, vrlo smo zadovoljni!",,10,"Smeštaj je dobro opremljen, domacini odlicni, vrlo smo zadovoljni! "
"Domaćini su divni i ljubazni. Lokacija objekta je odlična, izuzetno je čisto, sve je kao na slikama. Definitivno planiramo opet doći.",,10,"Domaćini su divni i ljubazni. Lokacija objekta je odlična, izuzetno je čisto, sve je kao na slikama. Definitivno planiramo opet doći. "
"Prelep je,sve je kao i na slikama. Cisto,mirno,10 minuta peske do centra Zlatibora. 
Ne pamtim kad sam tako lepo spavala,krevet je preudoban cista 10-ka!
Gazde su predivni ljudi,sve pohvale i za njih,i da ja cu se vratiti ponovo kod njih,cim se ponovo umorim.",,10,"Prelep je,sve je kao i na slikama. Cisto,mirno,10 minuta peske do centra Zlatibora. 
Ne pamtim kad sam tako lepo spavala,krevet je preudoban cista 10-ka!
Gazde su predivni ljudi,sve pohvale i za njih,i da ja cu se vratiti ponovo kod njih,cim se ponovo umorim. "
"Identično kao na slikama. Čisto, novo, prostorno, lepo. Sve kao što piše u opisu i kako izgleda na slikama. Domaćini dostupni, prijatni, topli i vedri ljudi. Smeštaj i usluga za visoku ocenu. Sledeći put dovodimo i ljubimca sa nama.",,10,"Identično kao na slikama. Čisto, novo, prostorno, lepo. Sve kao što piše u opisu i kako izgleda na slikama. Domaćini dostupni, prijatni, topli i vedri ljudi. Smeštaj i usluga za visoku ocenu. Sledeći put dovodimo i ljubimca sa nama. "
Sve je super,Nema toga,10,Sve je super Nema toga
"Izuzetni domacini, jako prijatni i ljubazni.. Objekat je uredjen sa ukusom, sve je novo i jako cisto... Nase preporuke... Doci cemo ponovo sigurno.",,10,"Izuzetni domacini, jako prijatni i ljubazni.. Objekat je uredjen sa ukusom, sve je novo i jako cisto... Nase preporuke... Doci cemo ponovo sigurno. "
Sve nam se dopalo apartman KIDA!,,10,Sve nam se dopalo apartman KIDA! 
"Apartman je isti kao na slikama, ima sve što je potrebno, i više. Čisto je, uredno je i na mirnoj lokaciji. Vlasnici su jako ljubazni, tu su bili za sve što je potrebno, dočekali su nas na ulazu na Zlatibor da nam daju ključ i sproveli do apartmana kako bi se lakše snašli iako smo došli kasno uveče nije im bio problem, sve preporuke :)",Sve je bilo kako treba.,10,"Apartman je isti kao na slikama, ima sve što je potrebno, i više. Čisto je, uredno je i na mirnoj lokaciji. Vlasnici su jako ljubazni, tu su bili za sve što je potrebno, dočekali su nas na ulazu na Zlatibor da nam daju ključ i sproveli do apartmana kako bi se lakše snašli iako smo došli kasno uveče nije im bio problem, sve preporuke :) Sve je bilo kako treba."
"Čist, nov, ukusno uredjen apartman u lepom kraju. Divan pogled na zelenilo. Domaćini vedri i ljubazni ljudi, predusretljivo će vas otpratiti do apartmana i uputiti u sve mogućnosti na Zlatiboru. Potpuno smo zadovoljni!",Sve je bilo savršeno.,10,"Čist, nov, ukusno uredjen apartman u lepom kraju. Divan pogled na zelenilo. Domaćini vedri i ljubazni ljudi, predusretljivo će vas otpratiti do apartmana i uputiti u sve mogućnosti na Zlatiboru. Potpuno smo zadovoljni! Sve je bilo savršeno."
"Divni domaćini, odličan smeštaj i lokacija. Svaka preporuka.",,10,"Divni domaćini, odličan smeštaj i lokacija. Svaka preporuka. "
"Apartman je odličan cist i udoban i ima sve sto vam je potrebno i vise od toga.Domacini su na visini zadatka, ko dodje bice prezadovoljan kao sto smo mi bili i dolazimo OPET.POZ OD MICE😀",,10,"Apartman je odličan cist i udoban i ima sve sto vam je potrebno i vise od toga.Domacini su na visini zadatka, ko dodje bice prezadovoljan kao sto smo mi bili i dolazimo OPET.POZ OD MICE😀 "
"Sve pohvale za domacine, vrlo ljubazni i prijatni. Stan je bio izuzetno cist, topao, mirisljav, opremljen apsolutno u detalj sa svim sitnicama kako u kuhinjskom delu, sobi, tako i u kupatilu. Zaista sve pohvale i preporuke. A mi se vidimo opet.",,10,"Sve pohvale za domacine, vrlo ljubazni i prijatni. Stan je bio izuzetno cist, topao, mirisljav, opremljen apsolutno u detalj sa svim sitnicama kako u kuhinjskom delu, sobi, tako i u kupatilu. Zaista sve pohvale i preporuke. A mi se vidimo opet. "
"Čistoća,lokacija,apartman,vlasnici...sve je savršeno.Bili smo sa kucom,vlasnici su bili oduševljeni i.Sigurno dolazimo opet sa decom i kučetom.",Nema mane,10,"Čistoća,lokacija,apartman,vlasnici...sve je savršeno.Bili smo sa kucom,vlasnici su bili oduševljeni i.Sigurno dolazimo opet sa decom i kučetom. Nema mane"
"Domaćini su fenomenalni u pitanju je presladak bračni par koji vam je na raspolaganju 24 sata. 
Ljubaznost, smeštaj, lokacija, aposlutno sve je za svaku preporuku. 
Mogućnost dolaska sa partnerom, prijateljima ili decom, u svakom slučaju ćete biti zadovoljni.",,10,"Domaćini su fenomenalni u pitanju je presladak bračni par koji vam je na raspolaganju 24 sata. 
Ljubaznost, smeštaj, lokacija, aposlutno sve je za svaku preporuku. 
Mogućnost dolaska sa partnerom, prijateljima ili decom, u svakom slučaju ćete biti zadovoljni. "
"Odličan apartman. Čistoća na najvišem nivou. Terasa prelepa, krevet izuzetno udoban. Domaćini (bračni par) jako ljubazni (Bucka je bolja ;) ). Za preporuku, svakako. Mi ćemo ponovi biti njihovi gosti.",,10,"Odličan apartman. Čistoća na najvišem nivou. Terasa prelepa, krevet izuzetno udoban. Domaćini (bračni par) jako ljubazni (Bucka je bolja ;) ). Za preporuku, svakako. Mi ćemo ponovi biti njihovi gosti. "
"Stan je prelep,skockan,ukusno i kompletno opremljen. Domaćica je divna i predusretljiva. Jako prijatno iskustvo za nas. Velika preporuka, a mi se vraćamo ubrzo.",,10,"Stan je prelep,skockan,ukusno i kompletno opremljen. Domaćica je divna i predusretljiva. Jako prijatno iskustvo za nas. Velika preporuka, a mi se vraćamo ubrzo. "
Sve usluge su za svaku pohvalu i preporuku,,10,Sve usluge su za svaku pohvalu i preporuku 
"Sve je super,čisto i uredno.",,10,"Sve je super,čisto i uredno. "
"Apartman jos lepsi,nego na slikama.Sve pohvale.",,9,"Apartman jos lepsi,nego na slikama.Sve pohvale. "
Cista 10 tka!,,10,Cista 10 tka! 
"Sve...i lubaznost,cistoca apartmana..svaka cast",,10,"Sve...i lubaznost,cistoca apartmana..svaka cast "
"Prelep apartman,udoban i cist smestaj za svaku pohvalu. Domacini preljubazni. Za svaku preporuku. Docicemo ponovo",,10,"Prelep apartman,udoban i cist smestaj za svaku pohvalu. Domacini preljubazni. Za svaku preporuku. Docicemo ponovo "
"Apartman cist, uredan,opremljen svim potrebnim stvarima,aparatima,sudovima za normalno funkcionisanje. Domacini predusretljivi,ljubazni,24 sata na usluzi. Steta sto je zima pa nismo mogli da uzivamo na predivnoj terasi. Vraticemo se sigurno opet.",,10,"Apartman cist, uredan,opremljen svim potrebnim stvarima,aparatima,sudovima za normalno funkcionisanje. Domacini predusretljivi,ljubazni,24 sata na usluzi. Steta sto je zima pa nismo mogli da uzivamo na predivnoj terasi. Vraticemo se sigurno opet. "
"Domacini su izuzetno ljubazni i predusretljivi, a smestaj odise toplinom i prijatno je boraviti u njemu.","Zvucna izolacija je veoma losa, na sta domacini ne mogu da uticu. Cuju se komsije iznad kad pricaju, pomeraju stolice, rasklapaju lezaj itd.",10,"Domacini su izuzetno ljubazni i predusretljivi, a smestaj odise toplinom i prijatno je boraviti u njemu. Zvucna izolacija je veoma losa, na sta domacini ne mogu da uticu. Cuju se komsije iznad kad pricaju, pomeraju stolice, rasklapaju lezaj itd."
"Lokacija je super
Mirno je
Sve je novo","Na bookingu je cena smestaja pisala 104 evra kad smo stigli u apartman vlasnici su nam naplatili 110 evra sto nije neka razlika ali zasto pise jedna cena a ljudi traze drugi iznos.
Stan je nov ali je jako lose rasporedjen. Nema mesta za odlaganje stvari.
Znali smo da je pet friendly ali nismo ocekivali da ce biti tako prvljavo, puno dlaka, dlake su bile svih mogucih duzina i boja ja sam morala da cistim apartman provetravam iznosim jastuke jorgane na terasu posto je sve bilo prljavo. Posteljina neka jeftina, sintetika, peskiri imaju fleke, nekvalitetni, skinuli smo posteljinu ispod ima zastita na krevetu koja je imala zute fleke. Znaci ispod kreveta 2cm prasine, dlaka…. Ja koja sam alergicna na sve to morala sam da uzmem tablete, i momak koji nije alergican i njemu je smetalo koliko dlaka i prasine ima.",3,"Lokacija je super
Mirno je
Sve je novo Na bookingu je cena smestaja pisala 104 evra kad smo stigli u apartman vlasnici su nam naplatili 110 evra sto nije neka razlika ali zasto pise jedna cena a ljudi traze drugi iznos.
Stan je nov ali je jako lose rasporedjen. Nema mesta za odlaganje stvari.
Znali smo da je pet friendly ali nismo ocekivali da ce biti tako prvljavo, puno dlaka, dlake su bile svih mogucih duzina i boja ja sam morala da cistim apartman provetravam iznosim jastuke jorgane na terasu posto je sve bilo prljavo. Posteljina neka jeftina, sintetika, peskiri imaju fleke, nekvalitetni, skinuli smo posteljinu ispod ima zastita na krevetu koja je imala zute fleke. Znaci ispod kreveta 2cm prasine, dlaka…. Ja koja sam alergicna na sve to morala sam da uzmem tablete, i momak koji nije alergican i njemu je smetalo koliko dlaka i prasine ima."
"Osoblje je ljubazno, hostel je veoma prijatnog izgleda,odiše dobro ukombinovanim enterijerom,čisto je i uredno.Meni lično se dopalo što je usmeren ka novim idejama i identičan.U sklopu hostela se nalazi i pab uz otvoreno igranje igara kao što su pikado,šah,Sony...Sve preporuke",,10,"Osoblje je ljubazno, hostel je veoma prijatnog izgleda,odiše dobro ukombinovanim enterijerom,čisto je i uredno.Meni lično se dopalo što je usmeren ka novim idejama i identičan.U sklopu hostela se nalazi i pab uz otvoreno igranje igara kao što su pikado,šah,Sony...Sve preporuke "
"Sve pohvale, ljubazno osoblje, sve cisto. Bez zamjerki!",,10,"Sve pohvale, ljubazno osoblje, sve cisto. Bez zamjerki! "
,Непријатан мирис у соби,8, Непријатан мирис у соби
"Sve preporuke 
😍💪💪",,10,"Sve preporuke 
😍💪💪 "
Apsolutno sve,Nema toga,10,Apsolutno sve Nema toga
Lokacija odlicna,,10,Lokacija odlicna 
Zaposleni su bili I vise ne go uctivi. A krevet udoban.,Čistoča u wc I par stvari u sobi kao na primer prljava stolica I sto.,10,Zaposleni su bili I vise ne go uctivi. A krevet udoban. Čistoča u wc I par stvari u sobi kao na primer prljava stolica I sto.
"Lokacija je pogodna, u širem smislu za posetioce koji dolaze u srcu grada na odmor.",,8,"Lokacija je pogodna, u širem smislu za posetioce koji dolaze u srcu grada na odmor. "
"Smestaj sjajan, osoblje ljubazno!!! 
Preporuka!!!",,10,"Smestaj sjajan, osoblje ljubazno!!! 
Preporuka!!! "
Domaćinski doček i uredan tuš sa toplom vodom...,"Nema ništa što bih naveo, sve je bilo u redu...",8,"Domaćinski doček i uredan tuš sa toplom vodom... Nema ništa što bih naveo, sve je bilo u redu..."
"Ljudi na recepciji od jako velike koristi,preljubazni.Osecala sam se kao kod kuce.Na samom prijemu sam dobila kolacic i kafu,a uvece su organizovali druzenje u pabu uz posluzenje,palacinke,caj,kafa,igre.Sve preporuke za hostel.Hvala na svemu dobri ljudi.",,10,"Ljudi na recepciji od jako velike koristi,preljubazni.Osecala sam se kao kod kuce.Na samom prijemu sam dobila kolacic i kafu,a uvece su organizovali druzenje u pabu uz posluzenje,palacinke,caj,kafa,igre.Sve preporuke za hostel.Hvala na svemu dobri ljudi. "
"Sve. Na samoj prijavnici imate osecaj kao da dolazite kod dobrog starog prijatelja koga dugo niste videli. Lokacija topina da ne moze vise, na samom ulazu u sredisnji deo Skadarske. 10+",,10,"Sve. Na samoj prijavnici imate osecaj kao da dolazite kod dobrog starog prijatelja koga dugo niste videli. Lokacija topina da ne moze vise, na samom ulazu u sredisnji deo Skadarske. 10+ "
Fantastičan hostel u svakom pogledu.,,10,Fantastičan hostel u svakom pogledu. 
"Sve u najboljem redu, lokacija , cena , osoblje izuzetno prijatno. Preporuka svima da koriste ovaj hostel...",,10,"Sve u najboljem redu, lokacija , cena , osoblje izuzetno prijatno. Preporuka svima da koriste ovaj hostel... "
"Dobra lokacija,mirno,čisto,odlicni prekrivači 🙂",Sve je bilo u redu.,6,"Dobra lokacija,mirno,čisto,odlicni prekrivači 🙂 Sve je bilo u redu."
,"Sve je bilo dobro sem što nisam mogla da dobijem povraćaj novca, a morala sam da izađem ranije od zakazanog izlaska. Platila sam za 3 noći, a nisam uopšte prespavala jer mi je nešto iskrislo. Nisam očekivala da će mi vratiti za prvu noć novac, ali za preostale dve da, barem neki deo, ali ne... Me znam kako je inače po hostelima, ovo mi je prvi put, ali u hotelima se vraća novac za raniji checkout.",5," Sve je bilo dobro sem što nisam mogla da dobijem povraćaj novca, a morala sam da izađem ranije od zakazanog izlaska. Platila sam za 3 noći, a nisam uopšte prespavala jer mi je nešto iskrislo. Nisam očekivala da će mi vratiti za prvu noć novac, ali za preostale dve da, barem neki deo, ali ne... Me znam kako je inače po hostelima, ovo mi je prvi put, ali u hotelima se vraća novac za raniji checkout."
Skoro nista,Vecina stvari,3,Skoro nista Vecina stvari
Pub.,Sve ostalo.,1,Pub. Sve ostalo.
"Cisto,prostrano,dobar domacin..",,10,"Cisto,prostrano,dobar domacin.. "
"Odlična lokacija, apartman je izuzetno čist. Kompletan kvart je prelepo uređen sa obezbeđenim parkingom, pekarama, prodavnicama, apotekama i ostalim sadržajima.",,10,"Odlična lokacija, apartman je izuzetno čist. Kompletan kvart je prelepo uređen sa obezbeđenim parkingom, pekarama, prodavnicama, apotekama i ostalim sadržajima. "
"Sve je fenomenalno 
Apartman je komforan 
Sve je čisto 
Garaza je fenomenalna 
Zaista sve pohvale",Ne postoji nista sto bih naveo kao propust,10,"Sve je fenomenalno 
Apartman je komforan 
Sve je čisto 
Garaza je fenomenalna 
Zaista sve pohvale Ne postoji nista sto bih naveo kao propust"
"Izuzetno lep i prostoran stan, dosta svetla i prijatan ambijent. Parking u zgradi veliki plus. stan ima sve sto je potrebno za boravak.",,10,"Izuzetno lep i prostoran stan, dosta svetla i prijatan ambijent. Parking u zgradi veliki plus. stan ima sve sto je potrebno za boravak. "
"Bez greske,
Verovatno jedini smestaj za traziti ubuduce kad je Bg u pitnju",,10,"Bez greske,
Verovatno jedini smestaj za traziti ubuduce kad je Bg u pitnju "
